String,IsPalindrome
nuavlfgt,False
muks,False
rueh,False
gaizr,False
tclcd,False
science,False
data,False
kilgdr,False
ozfgidf,False
madam,True
eytmf,False
kwrqoy,False
hello,False
gvfb,False
kdaguymgi,False
yaqhxmxe,False
huotremka,False
bxajgncg,False
noon,True
actl,False
racecar,True
algorithm,False
lyckydtj,False
ieuawll,False
rotor,True
civic,True
refer,True
jphkhfydo,False
wqlucxp,False
world,False
ciapgtyvsl,False
level,True
lsrdwqgr,False
trpxqkje,False
sjwtj,False
zegzhjtn,False
ktrwxdqew,False
program,False
jiinfmt,False
epiavbohei,False
mzymzx,False
nvezsvhvn,False
machine,False
smcw,False
ebyz,False
lsnxu,False
repaper,True
learning,False
lgkhfgk,False
wommbh,False
deified,True
yciqugqzy,False
ahlza,False
palee,False
python,False
jvcdza,False
ltvd,False
radar,True
nedbsvlgm,False
dallkfrym,False
java,False
csdftrmosc,False
snmbapxyak,False
gppwaip,False
crpna,False
zhwuk,False
wjkt,False
ujvqdm,False
dfopjysjaf,False
jzmjpvfytk,False
